"","Time_Step","B_CL2_VAL_prob","B_TURB_VAL_prob","B_PH_VAL_prob","B_TOC_VAL_prob","B_COND_VAL_prob","B_TEMP_VAL_prob","B_PRES_OP_prob","B_PLNT_PRES_OP_prob","B_PLNT_PH_VAL_prob","B_PLNT_TURB_VAL_prob","B_PLNT_FLOW_OP_prob","B_PLNT_CL2_VAL_prob","Event_Column"
"4175","04/19/2006 23:20:00",1.30858819891166e-07,2.47853117768537e-05,0.000252703610694516,0,0,0,0,0,0.137461119457112,8.23502142810462e-06,0,4.1304012162291e-05,0
"4176","04/19/2006 23:40:00",9.37644417664529e-08,2.18704051035967e-05,0.000252703610694516,0,0,0,0,0,0.191842446280587,1.71453894208806e-05,0,0.000156693704861488,0
"4177","04/20/2006 00:00:00",9.37644417664529e-08,2.0977044906112e-05,0.000252703610694516,0,0,0,0,0,0.37365806313992,3.56968565243809e-05,0,0.000594443877432016,0
"4178","04/20/2006 00:20:00",4.8140269548469e-08,2.58408565937396e-05,0.000252703610694516,0,0,0,0,0,0.521481835651671,6.08490353082303e-05,0,0.00225512265300498,0
"4179","04/20/2006 00:40:00",3.44940104257674e-08,2.37728837528817e-05,0.000252703610694516,0,0,0,0,0,1,9.07760937005619e-05,0,0.00439237915801116,1
"4180","04/20/2006 01:00:00",1.77098155029753e-08,2.0977044906112e-05,0.000252703610694516,0,0,0,0,0,1,0.00011463226384012,0,0.00855518640727759,1
"4181","04/20/2006 01:20:00",9.0925224016658e-09,2.01201765998027e-05,0.000252703610694516,0,0,0,0,0,1,0.000165404826957705,0,0.0166632277930227,1
"4182","04/20/2006 01:40:00",9.0925224016658e-09,2.0977044906112e-05,0.000352676298949417,0,0,0,0,0,1,1,0,0.0166632277930227,1
"4183","04/20/2006 02:00:00",3.78272755990894e-05,3.18324088298683e-05,0.000686919632936989,0,0,0,0,0,1,0.000587022196382736,0,0.0452953493132474,1
"4184","04/20/2006 02:20:00",0.000143504120983629,3.92131835196263e-05,0.000686919632936989,0,0,0,0,0,1,0.000670749648794988,0,0.0632147523001824,1
"4185","04/20/2006 02:40:00",0.000102825195881118,3.92131835196263e-05,0.000958673574762425,0,0,0,0,0,1,0.000766419215714298,0,0.123125524951906,1
"4186","04/20/2006 03:00:00",0.000102825195881118,3.92131835196263e-05,0.000958673574762425,0,0,0,0,0,1,0.000875734210627477,0,0.123125524951906,1
"4187","04/20/2006 03:20:00",3.78272755990894e-05,3.7611407182836e-05,0.00133793675254024,0,0,0,9.54046484813453e-07,8.55981951985996e-14,1,0.00100064089200647,0,0.239815776271552,1
"4188","04/20/2006 03:40:00",0.000143504120983629,3.60750600513216e-05,0.00186724115582448,0,0,0,9.54046484813453e-07,8.55981951985996e-14,1,0.00114336311474939,0,0.334689877096251,1
"4189","04/20/2006 04:00:00",0.000279507861471462,3.18324088298683e-05,0.00260594495770072,0,0,0,1,1,1,0.00130644192398344,0,0.334689877096251,1
"4190","04/20/2006 04:20:00",0.000279507861471462,3.18324088298683e-05,0.00186724115582448,0,0,0,1,1,1,0.00139650686193349,0,0.467097351026061,1
"4191","04/20/2006 04:40:00",0.000279507861471462,3.31880719923738e-05,0.00186724115582448,0,0,0,1,8.55981951985996e-14,1,0.00149278079616511,0,0.651886866816764,1
"4192","04/20/2006 05:00:00",0.000279507861471462,3.92131835196263e-05,0.00186724115582448,0,0,0,9.54046484813453e-07,8.55981951985996e-14,1,0.00164977792298349,0,0.651886866816764,1
"4193","04/20/2006 05:20:00",0.000390084644378841,4.2624288346671e-05,0.00186724115582448,0,0,0,9.54046484813453e-07,8.55981951985996e-14,1,0.00281221947421972,0,0.909781411079911,1
"4194","04/20/2006 05:40:00",0.000544406976530354,4.44395508311102e-05,0.00186724115582448,0,0,0,1,8.55981951985996e-14,1,0.00208334342705796,0,1,1
